Instancia,k,Algoritmo,Tipo,Costo_total,Tiempo_ms,Factible,Seleccion
ninstance_418.txt,5,bt,MICRO,0,0.0669,si,""
ninstance_418.txt,5,fb,MACRO,0,0.0256,si,""
ninstance_418.txt,5,bt,MACRO,0,0.007,si,""
ninstance_418.txt,10,fb,MICRO,0,1564.19,si,""
ninstance_418.txt,10,bt,MICRO,0,0.0122,si,""
ninstance_418.txt,10,fb,MACRO,-1,0,no,""
ninstance_418.txt,10,bt,MACRO,-1,0,no,""
ninstance_419.txt,5,fb,MICRO,-1,0,no,""
ninstance_419.txt,5,bt,MICRO,-1,0,no,""
ninstance_419.txt,5,fb,MACRO,0,1.5598,si,""
ninstance_419.txt,5,bt,MACRO,0,0.0086,si,""
ninstance_419.txt,10,fb,MICRO,-1,0,no,""
ninstance_419.txt,10,bt,MICRO,-1,0,no,""
ninstance_419.txt,10,fb,MACRO,0,1.0777,si,""
